사고신고사유,사고일시,공정율,날씨,지역,공사종류,공사비,공종소분류,사망자,내국인사망자,외국인사망자,남성사망자,여성사망자,10이상20미만 사망자,20이상30미만 사망자,30이상40미만 사망자,40이상50미만 사망자,50이상60미만 사망자,60이상사망자,부상자,내국인부상자,외국인부상자,남성부상자,여성부상자,10이상20미만 부상자,20이상30미만 부상자,30이상40미만 부상자,40이상50미만 부상자,50이상60미만 부상자,60이상부상자
3일이상 휴업이 필요한 부상,2019-07-02 07:40:00,60~69%,맑음,경상북도,건축/건축물/업무시설,5억 ~ 10억원 미만,철골공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
기타,2019-07-02 09:10:00,20~29%,맑음,경기도,산업환경설비/환경시설/하수처리시설,300억 ~ 500억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 09:30:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 10:00:00,90% 이상,맑음,서울특별시,건축/건축물/공동주택,150억 ~ 200억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 10:30:00,30~39%,맑음,전라북도,건축/건축물/교육연구시설,50억 ~ 100억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:00:00,10~19%,흐림,경기도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:00:00,90% 이상,맑음,대구광역시,건축/건축물/공동주택,"1,000억원 이상",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 11:15:00,90% 이상,맑음,전라남도,토목/도로/도로,300억 ~ 500억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-02 12:00:00,60~69%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-02 13:30:00,50~59%,맑음,경상북도,토목/도로/기타,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-02 14:00:00,50~59%,맑음,경기도,토목/도로/기타,"2,000만 ~ 4,000만원 미만",토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 14:50:00,60~69%,맑음,세종특별자치시,조경/수목원,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-02 15:30:00,90% 이상,맑음,경상남도,건축/건축물/근린생활시설,3억 ~ 5억원 미만,금속공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
기타,2019-07-02 15:30:00,50~59%,맑음,경기도,건축/건축물/자동차 관련시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-02 15:45:00,70~79%,맑음,경기도,토목/교량/철도교량,300억 ~ 500억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 10:10:00,30~39%,흐림,경기도,건축/건축물/업무시설,150억 ~ 200억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 10:20:00,60~69%,맑음,충청북도,토목/상하수도/하수도,5억 ~ 10억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 10:30:00,60~69%,맑음,경기도,건축/건축물/교육연구시설,"1,000만원 미만",건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 10:55:00,50~59%,맑음,경기도,토목/상하수도/하수도,50억 ~ 100억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 11:00:00,10~19%,안개,전라남도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 11:00:00,70~79%,맑음,전라남도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 14:10:00,90% 이상,맑음,경상북도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 14:30:00,80~89%,흐림,충청북도,건축/건축물/공장,200억 ~ 300억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 14:30:00,30~39%,강우,경기도,건축/건축물/종교시설,20억 ~ 50억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-03 14:30:00,80~89%,맑음,경상북도,토목/상하수도/상수도,10억 ~ 20억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 15:00:00,30~39%,맑음,서울특별시,건축/건축물/문화 및 집회시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 15:00:00,80~89%,맑음,경기도,건축/건축물/공동주택,20억 ~ 50억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 15:10:00,60~69%,맑음,대전광역시,건축/건축물/교육연구시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-03 15:30:00,80~89%,강우,전라북도,토목/도로/기타,10억 ~ 20억원 미만,도로 및 포장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-03 16:00:00,90% 이상,맑음,경기도,건축/건축물/공장,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 16:00:00,20~29%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-03 16:40:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-03 20:15:00,40~49%,맑음,부산광역시,건축/건축물/업무시설,10억 ~ 20억원 미만,전기설비공사,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
기타,2019-07-04 07:30:00,90% 이상,흐림,경기도,건축/건축물/근린생활시설,50억 ~ 100억원 미만,철골공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-04 07:40:00,90% 이상,맑음,인천광역시,건축/건축물/근린생활시설,"2,000만 ~ 4,000만원 미만",해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-04 08:00:00,70~79%,맑음,강원도,건축/건축물/공동주택,300억 ~ 500억원 미만,해체 및 철거공사,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 09:00:00,70~79%,흐림,경기도,건축/건축물/공장,5억 ~ 10억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-04 09:07:00,10~19%,맑음,충청북도,건축/건축물/교육연구시설,300억 ~ 500억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 09:30:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",방수공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-04 10:00:00,50~59%,맑음,전라북도,건축/건축물/업무시설,10억 ~ 20억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 11:20:00,60~69%,맑음,경상남도,토목/항만/방파제,200억 ~ 300억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 11:30:00,80~89%,안개,충청북도,건축/건축물/공장,100억 ~ 150억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
기타,2019-07-04 13:40:00,90% 이상,안개,경기도,건축/건축물/공장,"1,000억원 이상",기계설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 13:40:00,60~69%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
"사망 1명 이상, 3일이상 휴업이 필요한 부상",2019-07-04 14:23:00,30~39%,맑음,서울특별시,건축/건축물/근린생활시설,1억 ~ 2억원 미만,해체 및 철거공사,1,1,0,0,1,0,1,0,0,0,0,3,3,0,1,2,0,0,1,0,0,2
"3일이상 휴업이 필요한 부상, 기타",2019-07-04 15:00:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 16:10:00,10% 미만,맑음,경기도,건축/건축물/공동주택,50억 ~ 100억원 미만,건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-04 16:40:00,40~49%,흐림,경기도,건축/건축물/업무시설,"500억 ~ 1,000억원 미만",철골공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-04 16:45:00,80~89%,맑음,경기도,건축/건축물/공장,"1,000억원 이상",전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-04 18:10:00,50~59%,맑음,부산광역시,건축/건축물/공동주택,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 08:30:00,40~49%,맑음,경상남도,건축/건축물/문화 및 집회시설,20억 ~ 50억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
사망 1명 이상,2019-07-05 09:50:00,90% 이상,맑음,경상남도,토목/하천/제방(통관/호안),50억 ~ 100억원 미만,토공사,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 10:00:00,90% 이상,맑음,인천광역시,토목/터널/철도터널,"500억 ~ 1,000억원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 10:50:00,50~59%,맑음,서울특별시,건축/건축물/공동주택,"1,000억원 이상",방수공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
기타,2019-07-05 11:00:00,90% 이상,맑음,부산광역시,건축/건축물/근린생활시설,"2,000만 ~ 4,000만원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:25:00,20~29%,맑음,인천광역시,건축/건축물/업무시설,"1,000억원 이상",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:30:00,90% 이상,맑음,대전광역시,조경/기타,2억 ~ 3억원 미만,하천공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
기타,2019-07-05 11:40:00,80~89%,강우,경기도,건축/건축물/공동주택,150억 ~ 200억원 미만,가설공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 11:50:00,90% 이상,맑음,전라남도,건축/건축물/관광 휴게시설,1억 ~ 2억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 12:50:00,20~29%,맑음,충청남도,산업환경설비/발전시설,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 13:10:00,70~79%,안개,인천광역시,건축/건축물/업무시설,"500억 ~ 1,000억원 미만",철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 13:30:00,90% 이상,맑음,경상북도,건축/건축물/기타,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-05 13:30:00,80~89%,맑음,충청북도,건축/건축물/종교시설,200억 ~ 300억원 미만,건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 15:00:00,90% 이상,맑음,경기도,건축/건축물/교육연구시설,50억 ~ 100억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 15:05:00,30~39%,흐림,울산광역시,건축/건축물/근린생활시설,20억 ~ 50억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-05 15:40:00,30~39%,맑음,서울특별시,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-05 16:00:00,90% 이상,맑음,전라북도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",건축 토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-05 16:20:00,80~89%,맑음,경기도,건축/건축물/공장,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"사망 1명 이상, 기타",2019-07-05 17:00:00,60~69%,맑음,대전광역시,토목/기타/부지조성,"500억 ~ 1,000억원 미만",도로 및 포장공사,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-06 08:25:00,10~19%,흐림,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
기타,2019-07-06 09:30:00,70~79%,흐림,경기도,건축/건축물/공동주택,3억 ~ 5억원 미만,조적공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-06 10:00:00,70~79%,맑음,충청북도,토목/기타/부지조성,10억 ~ 20억원 미만,토공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-06 10:10:00,90% 이상,맑음,경상북도,건축/건축물/공동주택,"1,000억원 이상",건축물 부대공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-06 11:00:00,10% 미만,맑음,경상남도,건축/건축물/기타,5억 ~ 10억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
사망 1명 이상,2019-07-06 13:49:00,60~69%,맑음,경기도,토목/도로/도로,200억 ~ 300억원 미만,토공사,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:00:00,10~19%,흐림,광주광역시,산업환경설비/환경시설/공공폐수처리시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-06 14:00:00,70~79%,흐림,경기도,건축/건축물/공동주택,150억 ~ 200억원 미만,미장공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:42:00,90% 이상,맑음,대전광역시,건축/건축물/근린생활시설,3억 ~ 5억원 미만,기타,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0
3일이상 휴업이 필요한 부상,2019-07-06 14:48:00,40~49%,맑음,전라북도,건축/건축물/교육연구시설,100억 ~ 150억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-06 15:00:00,20~29%,맑음,경상남도,건축/건축물/교육연구시설,100억 ~ 150억원 미만,해체 및 철거공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
기타,2019-07-06 16:20:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-06 16:25:00,40~49%,맑음,전라북도,건축/건축물/공장,150억 ~ 200억원 미만,수장공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-07 07:40:00,90% 이상,맑음,인천광역시,건축/건축물/업무시설,300억 ~ 500억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
사망 1명 이상,2019-07-07 11:50:00,10% 미만,맑음,경상북도,토목/옹벽 및 절토사면/절토사면,1억 ~ 2억원 미만,기타,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3일이상 휴업이 필요한 부상,2019-07-07 15:00:00,20~29%,흐림,충청남도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
3일이상 휴업이 필요한 부상,2019-07-08 07:20:00,70~79%,흐림,서울특별시,건축/건축물/교육연구시설,50억 ~ 100억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-08 07:35:00,10~19%,맑음,경기도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3일이상 휴업이 필요한 부상,2019-07-08 08:00:00,40~49%,맑음,충청남도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 08:10:00,10~19%,맑음,강원도,건축/건축물/노유자시설,100억 ~ 150억원 미만,전기설비공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 08:30:00,10% 미만,흐림,경상남도,건축/건축물/업무시설,50억 ~ 100억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 08:30:00,30~39%,맑음,충청북도,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 09:00:00,70~79%,맑음,전라남도,토목/상하수도/하수도,50억 ~ 100억원 미만,관공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 09:00:00,40~49%,맑음,경상남도,건축/건축물/문화 및 집회시설,200억 ~ 300억원 미만,철근콘크리트공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 09:05:00,10% 미만,맑음,인천광역시,건축/건축물/공동주택,"1,000억원 이상",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 10:00:00,40~49%,맑음,경기도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",타일 및 돌공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
3일이상 휴업이 필요한 부상,2019-07-08 10:00:00,10~19%,흐림,강원도,건축/건축물/공동주택,"500억 ~ 1,000억원 미만",가설공사,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"사망 1명 이상, 3일이상 휴업이 필요한 부상",2019-07-08 10:25:00,90% 이상,흐림,서울특별시,건축/건축물/업무시설,200억 ~ 300억원 미만,기타,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
3일이상 휴업이 필요한 부상,2019-07-08 13:30:00,90% 이상,맑음,경상북도,토목/도로/기타,"500억 ~ 1,000억원 미만",기타,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
